coreid,aec:associatedTaxa,dc:rights,dcterms:accessRights,dcterms:bibliographicCitation,dcterms:language,dcterms:license,dcterms:modified,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:type,dwc:Identification,dwc:MeasurementOrFact,dwc:ResourceRelationship,dwc:VerbatimEventDate,dwc:acceptedNameUsage,dwc:acceptedNameUsageID,dwc:accessRights,dwc:associatedMedia,dwc:associatedOccurrences,dwc:associatedOrganisms,dwc:associatedReferences,dwc:associatedSequences,dwc:associatedTaxa,dwc:basisOfRecord,dwc:bed,dwc:behavior,dwc:catalogNumber,dwc:class,dwc:classs,dwc:collectionCode,dwc:collectionID,dwc:continent,dwc:coordinatePrecision,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:countryCode,dwc:county,dwc:dataGeneralizations,dwc:datasetID,dwc:datasetName,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:disposition,dwc:dynamicProperties,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,dwc:endDayOfYear,dwc:establishmentMeans,dwc:eventDate,dwc:eventID,dwc:eventRemarks,dwc:eventTime,dwc:family,dwc:fieldNotes,dwc:fieldNumber,dwc:footprintSRS,dwc:footprintSpatialFit,dwc:footprintWKT,dwc:formation,dwc:genus,dwc:geodeticDatum,dwc:geologicalContextID,dwc:georeferenceProtocol,dwc:georeferenceRemarks,dwc:georeferenceSources,dwc:georeferenceVerificationStatus,dwc:georeferencedBy,dwc:georeferencedDate,dwc:group,dwc:habitat,dwc:higherClassification,dwc:higherGeography,dwc:higherGeographyID,dwc:highestBiostratigraphicZone,dwc:identificationID,dwc:identificationQualifier,dwc:identificationReferences,dwc:identificationRemarks,dwc:identificationVerificationStatus,dwc:identifiedBy,dwc:individualCount,dwc:informationWithheld,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,dwc:island,dwc:islandGroup,dwc:kingdom,dwc:language,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lifeStage,dwc:lithostratigraphicTerms,dwc:locality,dwc:locationAccordingTo,dwc:locationID,dwc:locationRemarks,dwc:lowestBiostratigraphicZone,dwc:materialSampleID,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:modified,dwc:month,dwc:municipality,dwc:nameAccordingTo,dwc:namePublishedIn,dwc:namePublishedInID,dwc:namePublishedInYear,dwc:nomenclaturalCode,dwc:nomenclaturalStatus,dwc:occurrenceDetails,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:occurrenceStatus,dwc:order,dwc:organismID,dwc:organismName,dwc:organismQuantity,dwc:organismQuantityType,dwc:originalNameUsage,dwc:originalNameUsageID,dwc:otherCatalogNumbers,dwc:ownerInstitutionCode,dwc:parentNameUsage,dwc:phylum,dwc:pointRadiusSpatialFit,dwc:preparations,dwc:previousIdentifications,dwc:recordNumber,dwc:recordedBy,dwc:reproductiveCondition,dwc:rights,dwc:rightsHolder,dwc:sampleSizeValue,dwc:samplingEffort,dwc:samplingProtocol,dwc:scientificName,dwc:scientificNameAuthorship,dwc:scientificNameID,dwc:sex,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:subgenus,dwc:taxonID,dwc:taxonRank,dwc:taxonRemarks,dwc:taxonomicStatus,dwc:typeStatus,dwc:verbatimCoordinateSystem,dwc:verbatimCoordinates,dwc:verbatimDepth,dwc:verbatimElevation,dwc:verbatimEventDate,dwc:verbatimLatitude,dwc:verbatimLocality,dwc:verbatimLongitude,dwc:verbatimSRS,dwc:verbatimTaxonRank,dwc:vernacularName,dwc:waterBody,dwc:year,gbif:Identifier,gbif:Reference,idigbio:recordId,symbiota:recordEnteredBy,symbiota:verbatimScientificName,zan:ChronometricDate
ddd8bdbe-71e9-4116-acaf-1e317f8d2b4d,,,,,,,,,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,39224,Amphibia,,Herpetology Collection,,,,,,,,,,,,1,,,,,,,,,,274,,1970/10/01,,,,Ranidae,,No Field Number,,,,,Ptychadena,,,,,,,,,,,,,,,,,,,,,,,,TM,,,,Animalia,,,,,,,,,Old Sangwali,,,,,,,,,,,,10,,,,,,,,,urn:catalog:TM:Herpetology Collection:39224,,,Anura,,,,,,,,,,Chordata,,,,,,,,,,,,Ptychadena subpunctata,,,,subpunctata,274,,,,species,,,,,,,,,,,,,,,,1970,,,,,,
7c525a6d-f476-4fd6-a0fe-ce7e3ed7cd89,,,,,,,,,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,39225,Amphibia,,Herpetology Collection,,,,,,,,,,,,1,,,,,,,,,,274,,1970/10/01,,,,Ranidae,,No Field Number,,,,,Ptychadena,,,,,,,,,,,,,,,,,,,,,,,,TM,,,,Animalia,,,,,,,,,Old Sangwali,,,,,,,,,,,,10,,,,,,,,,urn:catalog:TM:Herpetology Collection:39225,,,Anura,,,,,,,,,,Chordata,,,,,,,,,,,,Ptychadena subpunctata,,,,subpunctata,274,,,,species,,,,,,,,,,,,,,,,1970,,,,,,
81f0d9a2-d3eb-497e-b88b-a847935034b6,,,,,,,,,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,200267,Amphibia,,Amphibians & Reptiles,,Africa,,,Botswana,,,,,NMNH Extant Biology,,21,,,,,,,,,,325,,,,,,Ptychadenidae,,,,,,,Ptychadena,,,,,,,,,,,"Animalia, Chordata, Vertebrata, Amphibia, Anura, Ptychadenidae","Africa, Botswana",,,,,,,,,1,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,,,Animalia,,,,,,,,,"Xugana, annual flood plain",,,,,,,,,,,,11,,,,,,,,,http://n2t.net/ark:/65665/3d3da4838-ec6f-4c90-9577-d701924cd549,,,Anura,,,,,,,,,,Chordata,,Ethanol,,,,,,,,,,Ptychadena subpunctata,,,,subpunctata,325,,,,,,,,,,,,21 Nov 1975,,,,,,,,1975,,,,,,
c0c8ce8a-34a8-401c-881d-e4423924a691,,,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,en,http://creativecommons.org/licenses/by/4.0/deed.en_US,2000-11-28 12:49:45.0,,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,203774,Amphibia,,KUH,,Africa,,,Namibia,,,,,University of Kansas Biodiversity Institute Herpetology Collection,,18,,,,,,,,,,,,1985-01-18,,,,Ranidae,,,,,,,Ptychadena,,,,,,,,,,,,"Namibia, East Caprivi",,,,,,,,,,,,KU,http://grbio.org/cool/iakn-125z,,,,,,,,,,,,Kongola/Kuando,,,,,,,,,,,,1,,,,,,,,,bec30866-b069-11e3-8cfe-90b11c41863e,,,Anura,,,,,,,,,,,,ETOH - 1,,,,,,,,,,Ptychadena subpunctata,,,,subpunctata,,East Caprivi,,,,,,,,,,,,,,,,,,,1985,,,,,,
b8023169-cd31-429e-8317-6dd34ce1f7be,,,,,en,CC0,2018-06-04 13:25:00.0,,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,160635,Amphibia,,HERP,,Africa,,,Namibia,,Katima Mulilo Dist.,,,,,2,-18.4333333333,23.6500000000,,,,,,,,,,,,,,Ranidae,,,,,,,Ptychadena,,,,,Collector's notes.,,,,,,Animalia; Chordata; Amphibia; Anura; Ranidae,Africa; Namibia; Caprivi Region; Katima Mulilo Dist.,,,,,,,,,,,,CAS,CAS,,,Animalia,,,,,,,,,"Nkasa Island [18 26 S, 23 39 E]",,,,,,,,,,,,3,,,,,,,,,urn:catalog:CAS:HERP:160635,,,Anura,,,,,,,,,,Chordata,,Alcohol,,,A. Channing,,,,,,,Ptychadena subpunctata,,,,subpunctata,,Caprivi Region,,,,,,,,,,,2 Mar 1986,,"Namibia: Caprivi Strip: Nkasa Island (18 26 S, 23 39 E)",,,,,,1986,,,,,,
784cba9b-0f16-48f7-b614-2fd31c8dab5c,,,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,,en,http://creativecommons.org/licenses/by/4.0/deed.en_US,2000-11-28 12:49:45.0,,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,203773,Amphibia,,KUH,,Africa,,,Namibia,,,,,University of Kansas Biodiversity Institute Herpetology Collection,,18,,,,,,,,,,,,1985-01-18,,,,Ranidae,,,,,,,Ptychadena,,,,,,,,,,,,"Namibia, East Caprivi",,,,,,,,,,,,KU,http://grbio.org/cool/iakn-125z,,,,,,,,,,,,Kongola/Kuando,,,,,,,,,,,,1,,,,,,,,,bec3024c-b069-11e3-8cfe-90b11c41863e,,,Anura,,,,,,,,,,,,ETOH - 1,,,,,,,,,,Ptychadena subpunctata,,,,subpunctata,,East Caprivi,,,,,,,,,,,,,,,,,,,1985,,,,,,
ec4fff8f-bf6c-4b5e-8ba9-64e4af1b6e17,,,,,,,,,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,200272,Amphibia,,Amphibians & Reptiles,,Africa,,,Botswana,,,,,NMNH Extant Biology,,29,-19.08,22.95,,,,,,,,333,,,,,,Ptychadenidae,,,,,,,Ptychadena,,,,,,,,,,,"Animalia, Chordata, Vertebrata, Amphibia, Anura, Ptychadenidae","Africa, Botswana, Ngamiland",,,,,,,,,1,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,,,Animalia,,,,,,,,,"Sadibas, S of",,,,,,,,,,,,11,,,,,,,,,http://n2t.net/ark:/65665/321a96b15-d559-43f3-a3ed-63921f4e8ce9,,,Anura,,,,,,,,,,Chordata,,Ethanol,,,,,,,,,,Ptychadena subpunctata,,,,subpunctata,333,Ngamiland,,,,,,,,,,,29 Nov 1975,19 05 -- S,,022 57 -- E,,,,,1975,,,,,,
fdd5337d-2515-40ba-98e9-a39dbfbec35c,,,,,,,,,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,200262,Amphibia,,Amphibians & Reptiles,,Africa,,,Botswana,,,,,NMNH Extant Biology,,21,,,,,,,,,,325,,,,,,Ptychadenidae,,,,,,,Ptychadena,,,,,,,,,,,"Animalia, Chordata, Vertebrata, Amphibia, Anura, Ptychadenidae","Africa, Botswana",,,,,,,,,1,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,,,Animalia,,,,,,,,,"Xugana, annual flood plain",,,,,,,,,,,,11,,,,,,,,,http://n2t.net/ark:/65665/32c7a2ef4-3ede-4dea-bc6b-a28663bd02f2,,,Anura,,,,,,,,,,Chordata,,Ethanol,,,,,,,,,,Ptychadena subpunctata,,,,subpunctata,325,,,,,,,,,,,,21 Nov 1975,,,,,,,,1975,,,,,,
54d5e643-8331-4211-b717-c7ba76b97fb4,,,,,en,CC0,2018-06-04 13:25:00.0,,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,160636,Amphibia,,HERP,,Africa,,,Namibia,,Katima Mulilo Dist.,,,,,2,-18.4333333333,23.6500000000,,,,,,,,,,,,,,Ranidae,,,,,,,Ptychadena,,,,,Collector's notes.,,,,,,Animalia; Chordata; Amphibia; Anura; Ranidae,Africa; Namibia; Caprivi Region; Katima Mulilo Dist.,,,,,,,,,,,,CAS,CAS,,,Animalia,,,,,,,,,"Nkasa Island [18 26 S, 23 39 E]",,,,,,,,,,,,3,,,,,,,,,urn:catalog:CAS:HERP:160636,,,Anura,,,,,,,,,,Chordata,,Alcohol,,,A. Channing,,,,,,,Ptychadena subpunctata,,,,subpunctata,,Caprivi Region,,,,,,,,,,,2 Mar 1986,,"Namibia: Caprivi Strip: Nkasa Island (18 26 S, 23 39 E)",,,,,,1986,,,,,,
867a626b-4004-4232-8145-99e371322d2d,,,,,,,,,,,,PhysicalObject,,,,,,,,,,,,,,PreservedSpecimen,,,200275,Amphibia,,Amphibians & Reptiles,,Africa,,,Botswana,,,,,NMNH Extant Biology,,2,,,,,,,,,,336,,,,,,Ptychadenidae,,,,,,,Ptychadena,,,,,,,,,,,"Animalia, Chordata, Vertebrata, Amphibia, Anura, Ptychadenidae","Africa, Botswana",,,,,,,,,1,,,USNM,http://biocol.org/urn:lsid:biocol.org:col:34871,,,Animalia,,,,,,,,,Xugana,,,,,,,,,,,,12,,,,,,,,,http://n2t.net/ark:/65665/3960fac57-6bdc-48e6-8d1e-4e251bc5b97a,,,Anura,,,,,,,,,,Chordata,,Ethanol,,,,,,,,,,Ptychadena subpunctata,,,,subpunctata,336,,,,,,,,,,,,2 Dec 1975,,,,,,,,1975,,,,,,
